Month,Year,Temp_Far,Location
1,1987,21.4,Ithaca
2,1987,17.9,Ithaca
3,1987,35.9,Ithaca
4,1987,47.7,Ithaca
5,1987,56.4,Ithaca
6,1987,66.3,Ithaca
7,1987,70.9,Ithaca
8,1987,65.8,Ithaca
9,1987,60.1,Ithaca
10,1987,45.4,Ithaca
11,1987,39.5,Ithaca
12,1987,31.3,Ithaca
1,1988,20.6,Ithaca
2,1988,22.5,Ithaca
3,1988,32.9,Ithaca
4,1988,43.6,Ithaca
5,1988,56.5,Ithaca
6,1988,61.9,Ithaca
7,1988,71.6,Ithaca
8,1988,69.9,Ithaca
9,1988,57.9,Ithaca
10,1988,45.2,Ithaca
11,1988,40.5,Ithaca
12,1988,26.7,Ithaca