Year,Month,Date,Precip_inch,MaxTemp_Far,MinTemp_Far,Location
1987,1,1,0,33,19,Ithaca
1987,1,2,0.07,32,25,Ithaca
1987,1,3,1.11,30,22,Ithaca
1987,1,4,0,29,-1,Ithaca
1987,1,5,0,25,4,Ithaca
1987,1,6,0,30,14,Ithaca
1987,1,7,0,37,21,Ithaca
1987,1,8,0.04,37,22,Ithaca
1987,1,9,0.02,29,23,Ithaca
1987,1,10,0.05,27,30,Ithaca
1987,1,11,0,36,29,Ithaca
1987,1,12,0.4,32,25,Ithaca
1987,1,13,0.18,33,29,Ithaca
1987,1,14,0.02,34,15,Ithaca
1987,1,15,0.02,53,29,Ithaca
1987,1,16,0,45,24,Ithaca
1987,1,17,0,25,0,Ithaca
1987,1,18,0,28,2,Ithaca
1987,1,19,0,32,26,Ithaca
1987,1,20,0.45,27,17,Ithaca
1987,1,21,0,26,19,Ithaca
1987,1,22,0,28,9,Ithaca
1987,1,23,0.7,24,20,Ithaca
1987,1,24,0,26,-6,Ithaca
1987,1,25,0,9,-13,Ithaca
1987,1,26,0,22,-13,Ithaca
1987,1,27,0,17,-11,Ithaca
1987,1,28,0,26,-4,Ithaca
1987,1,29,-0.01,27,-4,Ithaca
1987,1,30,0.03,30,11,Ithaca
1987,1,31,0.05,34,23,Ithaca
1987,1,1,0,34,28,Canandaigua
1987,1,2,0.04,36,28,Canandaigua
1987,1,3,0.84,30,26,Canandaigua
1987,1,4,0,29,19,Canandaigua
1987,1,5,0,30,16,Canandaigua
1987,1,6,0,35,24,Canandaigua
1987,1,7,0.02,44,26,Canandaigua
1987,1,8,0.05,38,24,Canandaigua
1987,1,9,0.01,31,24,Canandaigua
1987,1,10,0.09,33,29,Canandaigua
1987,1,11,0.18,93,29,Canandaigua
1987,1,12,0.04,33,27,Canandaigua
1987,1,13,0.04,34,31,Canandaigua
1987,1,14,0,39,26,Canandaigua
1987,1,15,0.06,51,38,Canandaigua
1987,1,16,0.03,44,23,Canandaigua
1987,1,17,0.04,25,13,Canandaigua
1987,1,18,0,34,14,Canandaigua
1987,1,19,0,36,28,Canandaigua
1987,1,20,0.35,29,19,Canandaigua
1987,1,21,0.02,27,19,Canandaigua
1987,1,22,0.01,29,17,Canandaigua
1987,1,23,0.35,27,22,Canandaigua
1987,1,24,0.08,24,2,Canandaigua
1987,1,25,0,21,4,Canandaigua
1987,1,26,0,21,5,Canandaigua
1987,1,27,0,19,7,Canandaigua
1987,1,28,0,26,8,Canandaigua
1987,1,29,0.01,28,14,Canandaigua
1987,1,30,0.01,31,14,Canandaigua
1987,1,31,0.13,38,23,Canandaigua